Feature_name	mean_mae	sd	rank	mean_within_mae	within_sd	within_rank
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis	0.19024877070842725	0.09444796447649716	85	0.16841559513670928	0.08838699538369311	119
wavelet-LLH_firstorder_Entropy	0.26450733243648106	0.17617473330689806	126	0.23261262194768487	0.15570642933239123	161
wavelet-LLH_firstorder_Uniformity	0.27095439369968455	0.19121656060996503	125	0.23694700992985857	0.16478068534472348	169
wavelet-LLH_gldm_GrayLevelVariance	0.2709543936996845	0.19121656060996492	126	0.2369470099298585	0.16478068534472334	170
wavelet-LLH_glrlm_LongRunEmphasis	0.18704224645390374	0.10671475790668535	83	0.15719319536602375	0.08464255998383875	110
wavelet-LLH_glrlm_GrayLevelVariance	0.281390734608997	0.16229362185482613	162	0.2573234120403059	0.15804442329648152	235
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized	0.28139073460899705	0.16229362185482635	161	0.25732341204030595	0.15804442329648175	234
wavelet-LLH_ngtdm_Strength	0.3104516848137257	0.13282711987552326	239	0.2837827460047227	0.13923260498726914	327
wavelet-LLH_glcm_DifferenceEntropy	0.32724660677586453	0.1557471487442208	253	0.2874536803369847	0.14514944020725065	313
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis	0.18219082811179493	0.11117532541505677	72	0.16900109213322237	0.10606699488303971	118
wavelet-LLH_glcm_ClusterTendency	0.2894974395949727	0.2209084557006052	153	0.2531403780562571	0.180810364453925	210
wavelet-LLH_glcm_DifferenceVariance	0.33572330217698565	0.16950298509553355	260	0.293129771907088	0.15243272643973943	326
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis	0.252214448702871	0.11721592782234415	173	0.2402364534660949	0.1161886822159693	259
wavelet-LLH_gldm_DependenceEntropy	0.25805875493339037	0.11432678934632158	180	0.2285627716579253	0.09626343587808944	246
wavelet-LLH_gldm_LargeDependenceEmphasis	0.18546165798428504	0.12543071318323246	69	0.15311545914764993	0.0835641889799739	97
wavelet-LLH_glcm_MaximumProbability	0.30815991649834384	0.21049213247601772	188	0.2660110218791969	0.171519986897334	235
wavelet-LLH_glrlm_RunPercentage	0.20240936213935998	0.12387073359735992	87	0.17030713440503167	0.08725370468967637	129
wavelet-HLL_firstorder_RootMeanSquared	0.1309161455488231	0.12617992347180637	26	0.10397812073526216	0.07442540376789934	33
wavelet-LLH_glrlm_ShortRunEmphasis	0.2653008078812036	0.13754073061499641	156	0.24461368299998937	0.1289968164166702	238
wavelet-LLH_glcm_Autocorrelation	0.2506404395429017	0.20723509187501646	119	0.22016044634332335	0.16461799345014677	171
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis	0.24404875471399523	0.12985271675063567	140	0.22460564921704182	0.12449617443525031	214
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis	0.24404875471399523	0.12985271675063564	141	0.22460564921704182	0.12449617443525028	214
wavelet-LLH_glcm_JointAverage	0.2537082205437278	0.21052041246940914	114	0.22347255945199543	0.17259784101245265	167
wavelet-LLH_ngtdm_Contrast	0.35094107390023294	0.26163599917832076	229	0.2983274780628876	0.2073712083528074	290
wavelet-LLL_gldm_GrayLevelVariance	0.1589778719799587	0.24364723365226837	37	0.11352187104761019	0.08075551351614801	49
wavelet-LLL_firstorder_Variance	0.1588176527647727	0.24474686752043984	36	0.11318001874304463	0.08102391680420779	48
wavelet-LLL_glrlm_GrayLevelVariance	0.16039326012940414	0.2529767568140199	38	0.115625603184488	0.08158743659160833	55
wavelet-LLH_gldm_HighGrayLevelEmphasis	0.2410041494676366	0.18217798580840278	110	0.21482023561983005	0.15502675812180655	160
wavelet-LLH_gldm_LowGrayLevelEmphasis	0.2410041494676366	0.18217798580840275	109	0.21482023561983002	0.15502675812180655	159
wavelet-LLL_glcm_ClusterTendency	0.17576036902689493	0.24593345822841448	43	0.12971779174547138	0.09436521075223035	57
wavelet-LLH_glrlm_RunVariance	0.1960215123566439	0.12496805499196628	92	0.1610992281022255	0.09154930922428536	110
wavelet-LLH_ngtdm_Complexity	0.3555742027968188	0.18373445852346124	275	0.3092346644635368	0.15378400661974947	347
wavelet-LLH_glcm_ClusterProminence	0.30819603004936386	0.2330096221789221	172	0.276259301963186	0.19367294000369106	242
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized	0.20424495012845	0.10966052663550996	98	0.1856525440639909	0.08844278437671824	161
wavelet-LLL_glcm_SumSquares	0.16750812418114888	0.2693974622524354	38	0.11470609972076017	0.0865364673002252	46
wavelet-LLH_glcm_Idn	0.35243751534891	0.18453128909123553	262	0.30525097679980423	0.15181783563483173	346
wavelet-LLH_glcm_Idmn	0.35243751534890966	0.18453128909123506	259	0.30525097679980395	0.1518178356348312	345
wavelet-LLH_glcm_Contrast	0.3524375153489099	0.18453128909123537	260	0.3052509767998041	0.15181783563483148	344
wavelet-LLH_glcm_DifferenceAverage	0.3524375153489099	0.18453128909123537	260	0.3052509767998041	0.15181783563483148	344
wavelet-LLH_glcm_InverseVariance	0.3524375153489099	0.18453128909123537	260	0.3052509767998041	0.15181783563483148	344
wavelet-LLH_glcm_Idm	0.3524375153489099	0.18453128909123545	260	0.3052509767998041	0.15181783563483153	343
wavelet-LLH_glcm_Id	0.3524375153489099	0.18453128909123545	260	0.3052509767998041	0.15181783563483153	343
wavelet-LLH_glrlm_RunLengthNonUniformity	0.2250142809385944	0.1537948852876262	117	0.19297479911971527	0.10481125487224174	170
wavelet-LLH_glszm_ZoneVariance	0.3043181875054804	0.11844427104602043	238	0.27619310661246566	0.10895730768922281	317
wavelet-LLL_glszm_GrayLevelVariance	0.1799428603697694	0.2925392911854408	50	0.13527107965594376	0.08915831497700213	81
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis	0.2928863115820435	0.12713105861537452	220	0.2714930839634625	0.12390570910936032	323
wavelet-HHH_glrlm_GrayLevelNonUniformity	0.15556853130018916	0.08925782436626739	65	0.13919065821101131	0.08032642857478807	84
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation	0.29937805683333907	0.16314281029292468	225	0.2741018475005801	0.12595962856312665	340
wavelet-LLH_glszm_LargeAreaEmphasis	0.3019742517129595	0.12222818526395157	234	0.2767421745263562	0.1170930971915995	311
wavelet-LLH_firstorder_90Percentile	0.2629786109164773	0.2164048666898726	157	0.2292304392269952	0.11746049211382753	233
wavelet-LLL_firstorder_MeanAbsoluteDeviation	0.16353996861728146	0.16066893440433025	46	0.11952246918834175	0.07377003913598804	56
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis	0.2946812549950957	0.15674491205296395	204	0.26658899311822437	0.13325321140009966	298
wavelet-LLL_glcm_Correlation	0.16521243465569826	0.09909399991710739	64	0.14466945345211377	0.08361744733387051	90
wavelet-LLL_glcm_ClusterProminence	0.19160476731052575	0.43630357610224196	43	0.14276053054788743	0.1726244898600611	60
lbp-2D_firstorder_Kurtosis	0.2970576578793094	0.14358805015489298	224	0.19512400930411333	0.10191653602369079	168
wavelet-LLH_firstorder_InterquartileRange	0.32392890074589153	0.1549292728203992	283	0.3032012868400853	0.12666930861773132	401
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis	0.21890671550309598	0.11731578877292836	117	0.19009540658042276	0.10146201305832978	153
wavelet-HLL_firstorder_Mean	0.12720952952578257	0.09076516012801902	33	0.10777817278854383	0.07506943500836778	39
wavelet-LHH_gldm_GrayLevelNonUniformity	0.15483468373056733	0.1320728469469074	47	0.1262381571726116	0.095937945280899245	60
wavelet-LLH_ngtdm_Busyness	0.5845703577889039	1.2773261467411086	346	0.5221679277610078	1.066742429120854	453
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis	0.29714332335564797	0.12401634649517478	232	0.27170692200155355	0.11574889169248619	300
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis	0.23184811186988302	0.1099831532268111	173	0.20535477166321234	0.10868833114082002	215
wavelet-HHH_ngtdm_Coarseness	0.18807781989332306	0.09894084344128634	100	0.1700836683196322	0.09185330591535665	136
wavelet-HHH_ngtdm_Strength	0.18776725203152161	0.09862023130217261	99	0.1698369647139393	0.09163029320945042	137
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis	0.2565278320971067	0.10417467898906962	211	0.22851258850128656	0.10103848042300655	260
wavelet-LLH_firstorder_MeanAbsoluteDeviation	0.2858835669293023	0.17451370607276992	213	0.25806043952848773	0.1130630272330648	308
wavelet-LLL_firstorder_Maximum	0.21156767354950484	0.19231839020441427	88	0.18430161689755722	0.12015565215487575	137
wavelet-LLL_glcm_Imc2	0.2126049998077092	0.11825047934935981	95	0.17375067119653326	0.09771746384904487	130
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis	0.3434764864393102	0.11683665552426274	305	0.33571898461862826	0.116074648643484	459
wavelet-LLL_firstorder_10Percentile	0.2756734027688202	0.7203360113563255	90	0.17251020216661486	0.12454489191139896	99
wavelet-LLL_glcm_SumEntropy	0.2579731921952598	0.1339770995833957	175	0.20232282220196218	0.08216061680037375	217
wavelet-LLL_glrlm_RunLengthNonUniformity	0.3021772710188788	0.26215984283711835	145	0.20449031897288336	0.0980972426633567	203
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis	0.29460797428462604	0.2289072482583437	172	0.2575757906999323	0.14732403942236272	247
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation	0.1967909105565703	0.16893247023668695	70	0.14783589088961888	0.09394753255004708	91
wavelet-LLL_glcm_Imc1	0.214571597691853	0.15240791815266067	90	0.17320808607854388	0.07612200760873393	136
wavelet-LLL_glrlm_RunEntropy	0.30190394829638756	0.17965451402133736	231	0.2557258680261322	0.10631799916627178	304
wavelet-LLL_glrlm_GrayLevelNonUniformity	0.20911185814018227	0.09977673396231222	105	0.17350573649255088	0.08773192820374882	137
lbp-2D_firstorder_Skewness	0.33441838131887147	0.21893173029530824	263	0.2172276871367924	0.1138850183306024	211
lbp-2D_firstorder_Mean	0.3769485496610787	0.3175174243589745	271	0.24664127153832793	0.13322782947497191	265
lbp-2D_firstorder_RootMeanSquared	0.3770141556505115	0.31738341797548103	273	0.2467804672359717	0.13324977372793287	266
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis	0.35508275447674914	0.42931386987035075	184	0.2914832864842723	0.2060486150100127	279
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis	0.3563377478600277	0.4324443737409952	180	0.2907201230475717	0.20716016659710249	277
wavelet-LLH_gldm_DependenceNonUniformity	0.24496141009919806	0.09296105848215434	176	0.22576115448925024	0.0950065051349219	239
wavelet-LLL_ngtdm_Strength	0.22630513926355147	0.13903369247336025	121	0.20517351282192448	0.0972218163104326	184
wavelet-LHL_gldm_HighGrayLevelEmphasis	0.357201337430511	0.4345303603363078	181	0.2908953154809301	0.20794959291802362	275
wavelet-LHL_glcm_Autocorrelation	0.34324999751463336	0.3880231989930449	179	0.2907335818554229	0.20416407644969117	278
wavelet-LLL_glszm_GrayLevelNonUniformity	0.2864615335062633	0.17728757390322608	190	0.2496967871565304	0.10064284780585958	274
wavelet-LHL_firstorder_Minimum	0.31660549044493164	0.22155527862248559	205	0.2711872873643877	0.1390350705818171	291
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis	0.37850446255048453	0.5138643462267288	191	0.3014039338267696	0.23217708032340098	286
wavelet-LLL_gldm_GrayLevelNonUniformity	0.2089015264435827	0.09516608850935236	110	0.16798407439337718	0.0895497213430987	127
wavelet-LLH_glrlm_RunEntropy	0.20893803487932724	0.09798582369449858	115	0.19573820972759526	0.08957720324791998	197
wavelet-LHL_glcm_JointAverage	0.3118057678392391	0.21463935158999692	191	0.26863270881656254	0.13667895318545167	278
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized	0.27970283936583445	0.11506896076403365	223	0.22830292165989058	0.10813419445228575	245
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized	0.2917352375545619	0.1367263017578825	231	0.24497645316969457	0.10228753806463174	270
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis	0.40479300990537637	0.5846495837250609	201	0.315875695784231	0.25251474011176794	318
wavelet-LHL_firstorder_Skewness	0.2558186915062541	0.11516807032293282	184	0.19792252088436602	0.08821378260314428	199
wavelet-LLH_firstorder_10Percentile	0.2936617012941582	0.1986491380185185	186	0.2618730185003475	0.12993035016456994	280
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis	0.3789941148037126	0.1993654048147668	329	0.36533369455411974	0.18269106143416916	466
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis	0.3789941148037126	0.19936540481476672	329	0.36533369455411974	0.1826910614341691	467
wavelet-LLL_firstorder_Uniformity	0.28097735819188097	0.11110352155560572	219	0.22881508204714557	0.1093972730542558	249
wavelet-LLL_firstorder_Entropy	0.279182411488326	0.13521454386645065	213	0.21991429012359376	0.10208651159962978	232
wavelet-LLH_glcm_Imc2	0.320941642531309	0.18301446187946027	251	0.30304923877749446	0.16416507893671684	349
wavelet-LLL_firstorder_InterquartileRange	0.2364060690496007	0.16896491685268877	121	0.18982071203145434	0.10258119095754094	168
wavelet-LLH_glcm_ClusterShade	0.2921157450905203	0.2084098009330426	173	0.26639272438415107	0.18024535668784267	252
original_ngtdm_Strength	0.2534608027088758	0.15455525628209724	166	0.20840487139045016	0.08548012691380107	203
wavelet-HLH_glszm_ZoneVariance	0.33741194138863917	0.10777772546531088	283	0.30445719419335043	0.10686350877663237	376
wavelet-LLH_glcm_Imc1	0.3275017547249588	0.23541238660793168	234	0.31452940026901766	0.23621672332594015	369
original_firstorder_Maximum	0.2794690411799434	0.24688923818800224	160	0.25047861361668755	0.1873800991649155	236
wavelet-LLL_firstorder_Kurtosis	0.18175233248035705	0.09316634007716777	87	0.1429535151779803	0.06240012354331116	108
wavelet-LLH_glcm_Correlation	0.30147672694345384	0.13494277764439094	224	0.2885240834038491	0.12857624608157844	327
wavelet-LLL_glcm_Idmn	0.2403175649202704	0.17477893124526803	111	0.20161386204960674	0.10642919150186346	166
wavelet-LLL_glcm_Contrast	0.17962262801954507	0.28322144017272455	36	0.10542019695293914	0.0824756166719725	36
wavelet-LHL_firstorder_Mean	0.1709968285627723	0.12124191794989929	59	0.15621641841188252	0.11177502503697234	88
wavelet-LLL_glcm_ClusterShade	0.18692235893478149	0.16903194148098505	72	0.1642637223270822	0.1165495613368848	124
wavelet-LLL_glcm_JointEntropy	0.28150338833089306	0.18652139923542893	199	0.17064544918425645	0.09235309458762651	159
wavelet-HLH_ngtdm_Coarseness	0.26269500677819563	0.11501063191426213	186	0.19366921235335052	0.08526101333777937	181
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis	0.5315666523945538	1.129261704965075	241	0.3667187645830783	0.42339424460619624	356
original_firstorder_90Percentile	0.2731044307207182	0.2607176321449634	137	0.146119879562391	0.08118943461376969	108
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis	0.3451568248796969	0.11258623393902786	292	0.31207520538723177	0.1145121297469753	388
wavelet-HLH_ngtdm_Strength	0.26261632566622084	0.11466905102075856	187	0.19458802529441696	0.08585889701917522	181
original_glcm_ClusterShade	0.24225516986504686	0.2678416633798976	111	0.22828021797808143	0.24973773581169564	164
wavelet-HLL_glrlm_RunLengthNonUniformity	0.44291924844503683	0.38665795091357347	294	0.2431626567861425	0.1011889531252916	249
wavelet-LLL_glcm_Idn	0.2811746612604597	0.24008781991879605	129	0.1923973831488317	0.10671420965090563	157
wavelet-LLL_glszm_ZoneEntropy	0.37415319724713225	0.13363783570778856	342	0.35455622859243013	0.11988980623983228	459
wavelet-LLL_firstorder_Range	0.25410183255606494	0.35871051682107546	130	0.21452004104573774	0.12825950096546268	200
wavelet-LLH_gldm_SmallDependenceEmphasis	0.39710910781031666	0.12387879755110406	369	0.3862919497960496	0.11857584100296059	526
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis	0.4068167209490631	0.14263104509296234	383	0.39246854351786836	0.14646946124049703	520
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized	0.4182409801906191	0.09878548271118252	433	0.4030533921296332	0.1002354638840605	578
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis	0.3869667486277752	0.13408428248692858	370	0.37038825732597497	0.13838536023016051	492
wavelet-LLH_glrlm_GrayLevelNonUniformity	0.2763566152749908	0.1810092130841069	190	0.23505049449388826	0.10324188181736671	250
wavelet-HLH_glrlm_GrayLevelNonUniformity	0.2947413752564859	0.15557295109068525	206	0.22177755959868736	0.10937467858460956	210
wavelet-HLH_glszm_LargeAreaEmphasis	0.3359317734502947	0.10963619071069643	288	0.30480742073809264	0.10901979093096932	373
wavelet-HLL_glcm_ClusterShade	0.36231812844733247	0.7463841164561678	181	0.34513316718415515	0.7068389060817797	274
original_gldm_DependenceEntropy	0.4038468041820138	0.268933138585296	374	0.3320888738953857	0.11957843368149274	438
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis	0.21400595119334687	0.1330193839495004	102	0.19074433283856512	0.10268612793523571	158
wavelet-LHL_glcm_ClusterProminence	2.3656671058649548	20.270075060246853	221	0.8643891871231157	5.797569176344413	263
wavelet-LLH_glszm_ZoneEntropy	0.4174678239829274	0.1214433520072961	429	0.3907796943161499	0.10669853812306182	525
wavelet-LLL_ngtdm_Coarseness	0.31556244530936595	0.16329475324517057	248	0.263577669708752	0.10064348378009405	319
