Feature_name,mae,rank
original_firstorder_10Percentile,0.6972928436566969,677
original_firstorder_90Percentile,0.18519416941770817,170
original_firstorder_Energy,0.08732166172860208,21
original_firstorder_Entropy,0.3480099795001338,418
original_firstorder_InterquartileRange,0.32652426565362835,385
original_firstorder_Kurtosis,0.22212489911885663,222
original_firstorder_Maximum,0.3347263738316812,397
original_firstorder_Mean,0.1310554825947961,63
original_firstorder_MeanAbsoluteDeviation,0.35194759833990485,426
original_firstorder_Median,0.14316019031853863,80
original_firstorder_Minimum,1.5633092339822747,778
original_firstorder_Range,0.26193823750925305,284
original_firstorder_RobustMeanAbsoluteDeviation,0.3307948868993653,391
original_firstorder_RootMeanSquared,0.11441512836283896,36
original_firstorder_Skewness,0.3570444828322836,431
original_firstorder_TotalEnergy,0.08732166172860206,20
original_firstorder_Uniformity,0.23820582382560823,248
original_firstorder_Variance,0.3297632627740796,388
original_glcm_Autocorrelation,1.1474555621824931,749
original_glcm_ClusterProminence,0.15290317315376806,105
original_glcm_ClusterShade,0.28768413130674964,323
original_glcm_ClusterTendency,0.20966994660000968,207
original_glcm_Contrast,0.8583520350090559,712
original_glcm_Correlation,0.29513776062304564,335
original_glcm_DifferenceAverage,0.9105009370831629,720
original_glcm_DifferenceEntropy,0.5031717504770361,582
original_glcm_DifferenceVariance,0.3414898272956262,403
original_glcm_Id,0.38226764612216146,463
original_glcm_Idm,0.31863489482377005,373
original_glcm_Idmn,1.7993634923895154,782
original_glcm_Idn,1.5172029683043435,776
original_glcm_Imc1,0.38877936595109525,481
original_glcm_Imc2,0.23332536445083182,238
original_glcm_InverseVariance,0.5638216809904529,626
original_glcm_JointAverage,0.9033660545862695,717
original_glcm_JointEnergy,0.1429505135607314,79
original_glcm_JointEntropy,0.2771821928805038,307
original_glcm_MaximumProbability,0.17074550751499146,148
original_glcm_SumEntropy,0.27926604518987463,310
original_glcm_SumSquares,0.3623686593480602,438
original_gldm_DependenceEntropy,0.26801620468911214,291
original_gldm_DependenceNonUniformity,0.8148859386226098,702
original_gldm_DependenceNonUniformityNormalized,0.6446997902857567,668
