Feature_name,mae,rank
wavelet-HHH_glcm_ClusterTendency,0.4549064552321927,646
wavelet-HHH_glcm_Contrast,0.4898722415506422,690
wavelet-HHH_glcm_Correlation,0.47695575156302733,673
wavelet-HHH_glcm_DifferenceAverage,0.4898722415506422,690
wavelet-HHH_glcm_DifferenceEntropy,0.4888153309149997,688
wavelet-HHH_glcm_DifferenceVariance,0.486294191967379,684
wavelet-HHH_glcm_Id,0.48987224155064324,693
wavelet-HHH_glcm_Idm,0.48987224155064324,693
wavelet-HHH_glcm_Idmn,0.4898722415506426,692
wavelet-HHH_glcm_Idn,0.4898722415506424,691
wavelet-HHH_glcm_Imc1,0.4514741083941389,641
wavelet-HHH_glcm_Imc2,0.4555618415945658,647
wavelet-HHH_glcm_InverseVariance,0.4898722415506422,690
wavelet-HHH_glcm_JointAverage,0.34103692929027424,429
wavelet-HHH_glcm_JointEnergy,0.41815610854092816,571
wavelet-HHH_glcm_JointEntropy,0.39607317734066166,530
wavelet-HHH_glcm_MaximumProbability,0.40459786897861966,550
wavelet-HHH_glcm_SumEntropy,0.4145149581887338,567
wavelet-HHH_glcm_SumSquares,0.31619622326153757,382
wavelet-HHH_gldm_DependenceEntropy,0.33919259516203143,422
wavelet-HHH_gldm_DependenceNonUniformity,0.6954750554680017,765
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.4239086805917829,580
wavelet-HHH_gldm_DependenceVariance,0.33644742888992074,418
wavelet-HHH_gldm_GrayLevelNonUniformity,0.027478854428143,4
wavelet-HHH_gldm_GrayLevelVariance,0.29006980118331116,346
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.35002332437412514,447
wavelet-HHH_gldm_LargeDependenceEmphasis,0.19236023725924237,157
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.20380762732523086,185
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.3977020121554917,538
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.3500233243741252,448
wavelet-HHH_gldm_SmallDependenceEmphasis,0.27680699383140556,326
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.2462238933994994,267
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.34081908098772024,427
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.13256504965010893,72
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.34011386888425205,423
wavelet-HHH_glrlm_GrayLevelVariance,0.34011386888425277,424
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.38416723228431104,511
wavelet-HHH_glrlm_LongRunEmphasis,0.23124073759784936,232
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.2260694041123223,221
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.38848422032170055,517
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.38416723228431093,510
wavelet-HHH_glrlm_RunEntropy,0.18678168748439278,145
wavelet-HHH_glrlm_RunLengthNonUniformity,0.4240868812872172,581
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.1818784697829725,133
wavelet-HHH_glrlm_RunPercentage,0.18493767535239392,137
wavelet-HHH_glrlm_RunVariance,0.3408542639630379,428
wavelet-HHH_glrlm_ShortRunEmphasis,0.17665142418247085,129
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.1932133966907374,158
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.24566709993443794,264
wavelet-HHH_glszm_GrayLevelNonUniformity,0.43443110373971305,601
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.29963331358991135,359
wavelet-HHH_glszm_GrayLevelVariance,0.29963331358991135,359
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.3632621674170008,471
wavelet-HHH_glszm_LargeAreaEmphasis,0.4500059487018012,637
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.33343907817296653,411
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.6084133022855637,755
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.3632621674170009,472
wavelet-HHH_glszm_SizeZoneNonUniformity,0.4382502123370429,611
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.7650078707901431,774
wavelet-HHH_glszm_SmallAreaEmphasis,0.4884289974704577,687
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.4140904752990302,565
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.35519736023316445,457
wavelet-HHH_glszm_ZoneEntropy,0.5035478814552662,707
wavelet-HHH_glszm_ZonePercentage,0.3338230699932992,412
wavelet-HHH_glszm_ZoneVariance,0.32538167111883026,401
wavelet-HHH_ngtdm_Busyness,0.5112573514369266,714
wavelet-HHH_ngtdm_Coarseness,0.1854583456502012,139
wavelet-HHH_ngtdm_Complexity,0.461155426408518,653
wavelet-HHH_ngtdm_Contrast,0.4624356316633254,655
wavelet-HHH_ngtdm_Strength,0.18523598443682468,138
wavelet-HHL_firstorder_10Percentile,0.5926521863161682,748
wavelet-HHL_firstorder_90Percentile,0.4540189971594583,645
wavelet-HHL_firstorder_Energy,0.027529845943182824,5
wavelet-HHL_firstorder_Entropy,0.3789693829850123,502
wavelet-HHL_firstorder_InterquartileRange,0.5041779277429345,708
wavelet-HHL_firstorder_Kurtosis,0.36230662773308164,470
wavelet-HHL_firstorder_Maximum,0.2647005207657171,301
wavelet-HHL_firstorder_Mean,0.25078665133886624,273
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.40913819834437204,560
wavelet-HHL_firstorder_Median,0.4953866363199153,702
wavelet-HHL_firstorder_Minimum,0.506436056885321,710
wavelet-HHL_firstorder_Range,0.3446657673085662,436
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.5159174985039373,715
wavelet-HHL_firstorder_RootMeanSquared,0.34767051331128634,441
wavelet-HHL_firstorder_Skewness,0.2089479195175811,192
wavelet-HHL_firstorder_TotalEnergy,0.027529845943182824,5
wavelet-HHL_firstorder_Uniformity,0.3052368822698246,370
wavelet-HHL_firstorder_Variance,0.36845636840036605,481
wavelet-HHL_glcm_Autocorrelation,0.5670020138627342,737
wavelet-HHL_glcm_ClusterProminence,0.32177790596960165,390
wavelet-HHL_glcm_ClusterShade,0.36564269506648234,477
wavelet-HHL_glcm_ClusterTendency,0.31927280778970324,387
wavelet-HHL_glcm_Contrast,0.414431438108382,566
wavelet-HHL_glcm_Correlation,0.30434059123983953,368
wavelet-HHL_glcm_DifferenceAverage,0.39754962495205676,535
wavelet-HHL_glcm_DifferenceEntropy,0.4217525608544118,574
wavelet-HHL_glcm_DifferenceVariance,0.36376519525637335,474
wavelet-HHL_glcm_Id,0.38740061274800464,513
wavelet-HHL_glcm_Idm,0.3921368310014487,526
wavelet-HHL_glcm_Idmn,0.41219456583863945,564
wavelet-HHL_glcm_Idn,0.3821050349553613,508
wavelet-HHL_glcm_Imc1,0.22218360624722844,215
wavelet-HHL_glcm_Imc2,0.17233699874857072,122
wavelet-HHL_glcm_InverseVariance,0.40405477436062165,546
wavelet-HHL_glcm_JointAverage,0.5091791402248461,712
wavelet-HHL_glcm_JointEnergy,0.39905787046065955,540
wavelet-HHL_glcm_JointEntropy,0.4120972894479623,563
wavelet-HHL_glcm_MaximumProbability,0.4419571631165152,616
wavelet-HHL_glcm_SumEntropy,0.4770464601614471,674
wavelet-HHL_glcm_SumSquares,0.36674879753089906,480
wavelet-HHL_gldm_DependenceEntropy,0.4914481733324906,694
wavelet-HHL_gldm_DependenceNonUniformity,0.6055251318921954,753
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.42730342971066,588
wavelet-HHL_gldm_DependenceVariance,0.3791461408512631,503
wavelet-HHL_gldm_GrayLevelNonUniformity,0.1912228783058385,156
wavelet-HHL_gldm_GrayLevelVariance,0.3699475164330055,483
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.5608981676701755,734
wavelet-HHL_gldm_LargeDependenceEmphasis,0.3478615349918375,442
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.4042064768093637,547
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2820132927841656,335
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.47101714826339147,666
wavelet-HHL_gldm_SmallDependenceEmphasis,0.40457961331135583,549
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6146788657407225,757
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.5302081753321325,723
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.19499656791705508,162
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.31529961927463523,380
wavelet-HHL_glrlm_GrayLevelVariance,0.37136881096783053,485
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.5632634921652727,736
wavelet-HHL_glrlm_LongRunEmphasis,0.3352849127738845,415
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.5275652509902471,721
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.440654591772039,613
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.4866566527970094,685
wavelet-HHL_glrlm_RunEntropy,0.4217604949720424,575
wavelet-HHL_glrlm_RunLengthNonUniformity,0.22672673451430134,223
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.38772912192801356,515
wavelet-HHL_glrlm_RunPercentage,0.3647450787538982,475
wavelet-HHL_glrlm_RunVariance,0.30621326823700257,371
wavelet-HHL_glrlm_ShortRunEmphasis,0.37391431237767536,490
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.57393773868688025,742
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.4958843442640978,703
wavelet-HHL_glszm_GrayLevelNonUniformity,0.2533972527542934,279
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.36992810625079986,482
wavelet-HHL_glszm_GrayLevelVariance,0.3781572552826346,499
