Feature_name,mae,rank
original_firstorder_10Percentile,0.6117871318483251,568
original_firstorder_90Percentile,0.38502532039667536,321
original_firstorder_Energy,0.10501694594562491,10
original_firstorder_Entropy,0.6413864856426863,583
original_firstorder_InterquartileRange,0.9636567732611807,689
original_firstorder_Kurtosis,0.34997037412189624,289
original_firstorder_Maximum,0.2319719027796186,114
original_firstorder_Mean,0.11028929674300876,17
original_firstorder_MeanAbsoluteDeviation,0.7152053886524993,625
original_firstorder_Median,0.16282267357273897,52
original_firstorder_Minimum,1.53017818119694,746
original_firstorder_Range,0.43035469549246097,388
original_firstorder_RobustMeanAbsoluteDeviation,0.9525144185042976,687
original_firstorder_RootMeanSquared,0.13092339839056816,28
original_firstorder_Skewness,0.48550490203708657,459
original_firstorder_TotalEnergy,0.10501694594562494,11
original_firstorder_Uniformity,0.4858497889011455,460
original_firstorder_Variance,0.6419408766135188,584
original_glcm_Autocorrelation,2.457112596777579,781
original_glcm_ClusterProminence,0.35513360499458313,294
original_glcm_ClusterShade,0.2047136219588371,93
original_glcm_ClusterTendency,0.6231388188226267,574
original_glcm_Contrast,1.0439933228821703,703
original_glcm_Correlation,0.443980345972346,411
original_glcm_DifferenceAverage,1.084763354702853,706
original_glcm_DifferenceEntropy,0.6589607258059165,595
original_glcm_DifferenceVariance,0.4925893139261575,465
original_glcm_Id,0.7424993450466484,637
original_glcm_Idm,0.6824108729902328,611
original_glcm_Idmn,1.0925721102910162,707
original_glcm_Idn,1.1871829818975321,719
original_glcm_Imc1,0.6772688845382664,604
original_glcm_Imc2,0.4909620104780965,464
original_glcm_InverseVariance,0.849852662872932,666
original_glcm_JointAverage,1.6543137314674,753
original_glcm_JointEnergy,0.3477306256533407,284
original_glcm_JointEntropy,0.6333517101403544,578
original_glcm_MaximumProbability,0.40587995153578404,354
original_glcm_SumEntropy,0.54284850902964,508
original_glcm_SumSquares,0.8091390493803204,658
original_gldm_DependenceEntropy,0.39877948802330687,340
original_gldm_DependenceNonUniformity,1.548095689924078,747
original_gldm_DependenceNonUniformityNormalized,1.215778742496272,720
original_gldm_DependenceVariance,0.3865795206475836,323
original_gldm_GrayLevelNonUniformity,0.39358842966971225,334
original_gldm_GrayLevelVariance,0.6468446009959047,589
original_gldm_HighGrayLevelEmphasis,2.2963535061585443,778
original_gldm_LargeDependenceEmphasis,0.3413880086182377,276
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.7777027612382814,648
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.25592714733087796,142
original_gldm_LowGrayLevelEmphasis,0.3459974691290785,281
original_gldm_SmallDependenceEmphasis,0.6791087526971203,608
original_gldm_SmallDependenceHighGrayLevelEmphasis,2.2150024923826903,775
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.3746642739701878,309
original_glrlm_GrayLevelNonUniformity,0.44008614116861267,403
original_glrlm_GrayLevelNonUniformityNormalized,0.4896119898153697,463
original_glrlm_GrayLevelVariance,0.5871452831650538,544
original_glrlm_HighGrayLevelRunEmphasis,2.188560743090719,773
original_glrlm_LongRunEmphasis,0.32090100538408944,258
original_glrlm_LongRunHighGrayLevelEmphasis,2.115959319362238,769
original_glrlm_LongRunLowGrayLevelEmphasis,0.31133624678291655,245
original_glrlm_LowGrayLevelRunEmphasis,0.34881224825960216,287
original_glrlm_RunEntropy,0.6813251773719611,610
original_glrlm_RunLengthNonUniformity,0.7278562600162914,630
original_glrlm_RunLengthNonUniformityNormalized,0.4933353412373415,467
original_glrlm_RunPercentage,0.4372258764541975,401
original_glrlm_RunVariance,0.2868539968115136,203
original_glrlm_ShortRunEmphasis,0.42911931797374203,387
original_glrlm_ShortRunHighGrayLevelEmphasis,2.164669980799342,772
original_glrlm_ShortRunLowGrayLevelEmphasis,0.3561504555802657,296
original_glszm_GrayLevelNonUniformity,0.537312391991271,502
original_glszm_GrayLevelNonUniformityNormalized,0.5266232191250991,488
original_glszm_GrayLevelVariance,0.44767859381849673,415
original_glszm_HighGrayLevelZoneEmphasis,1.8726766006119644,759
original_glszm_LargeAreaEmphasis,0.15519616775822442,44
original_glszm_LargeAreaHighGrayLevelEmphasis,0.3155572271442285,249
original_glszm_LargeAreaLowGrayLevelEmphasis,0.17003017580324561,63
original_glszm_LowGrayLevelZoneEmphasis,0.35704416974296244,297
original_glszm_SizeZoneNonUniformity,1.0425169508720127,702
original_glszm_SizeZoneNonUniformityNormalized,0.7103130225689052,623
original_glszm_SmallAreaEmphasis,0.5639158421287136,527
original_glszm_SmallAreaHighGrayLevelEmphasis,1.799673535044207,758
original_glszm_SmallAreaLowGrayLevelEmphasis,0.35316451244692393,292
original_glszm_ZoneEntropy,0.41159448984835617,365
original_glszm_ZonePercentage,0.5709408259111496,534
original_glszm_ZoneVariance,0.12477218133421704,26
original_ngtdm_Busyness,0.42809721784814786,385
original_ngtdm_Coarseness,0.5888917012209656,546
original_ngtdm_Complexity,1.2749681922798928,726
original_ngtdm_Contrast,0.7683858768447432,646
original_ngtdm_Strength,0.19924310941915788,82
wavelet-HHH_firstorder_10Percentile,1.4971039174449199,744
wavelet-HHH_firstorder_90Percentile,1.947860063911643,764
wavelet-HHH_firstorder_Energy,0,1
wavelet-HHH_firstorder_Entropy,0.45786374281639125,428
wavelet-HHH_firstorder_InterquartileRange,1.6110578735536578,750
wavelet-HHH_firstorder_Kurtosis,0.2589870685991275,146
wavelet-HHH_firstorder_Maximum,0.5245930833113707,486
wavelet-HHH_firstorder_Mean,0.5778193196239538,538
wavelet-HHH_firstorder_MeanAbsoluteDeviation,2.1610248777141483,771
wavelet-HHH_firstorder_Median,0.8139817017689551,660
wavelet-HHH_firstorder_Minimum,0.6408422044116817,582
wavelet-HHH_firstorder_Range,0.7500678060300385,641
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,1.7098834476138713,755
wavelet-HHH_firstorder_RootMeanSquared,NA,NA
wavelet-HHH_firstorder_Skewness,0.25551609619801646,140
wavelet-HHH_firstorder_TotalEnergy,0,1
wavelet-HHH_firstorder_Uniformity,0.45831195727045027,430
wavelet-HHH_firstorder_Variance,3.05217981911196,782
wavelet-HHH_glcm_Autocorrelation,0.43713767788589625,400
wavelet-HHH_glcm_ClusterProminence,0.5437270810077969,509
wavelet-HHH_glcm_ClusterShade,0.3864881057298036,322
wavelet-HHH_glcm_ClusterTendency,0.5381808050673342,503
wavelet-HHH_glcm_Contrast,0.5279794721780938,492
wavelet-HHH_glcm_Correlation,0.5358332594482168,499
wavelet-HHH_glcm_DifferenceAverage,0.5279794721780938,492
wavelet-HHH_glcm_DifferenceEntropy,1.135772189293517,711
wavelet-HHH_glcm_DifferenceVariance,1.1208562118292218,710
wavelet-HHH_glcm_Id,0.5279794721780953,494
wavelet-HHH_glcm_Idm,0.5279794721780953,494
wavelet-HHH_glcm_Idmn,0.5279794721780918,491
wavelet-HHH_glcm_Idn,0.5279794721780952,493
wavelet-HHH_glcm_Imc1,1.1364340323189444,712
wavelet-HHH_glcm_Imc2,0.8113347275680614,659
wavelet-HHH_glcm_InverseVariance,0.5279794721780938,492
wavelet-HHH_glcm_JointAverage,0.44887517569914515,417
wavelet-HHH_glcm_JointEnergy,0.9354908403097917,685
wavelet-HHH_glcm_JointEntropy,0.9450137205465958,686
wavelet-HHH_glcm_MaximumProbability,0.6779875751417501,606
wavelet-HHH_glcm_SumEntropy,0.7961534878455618,655
wavelet-HHH_glcm_SumSquares,0.3877578677066355,325
wavelet-HHH_gldm_DependenceEntropy,0.5917757943010534,549
wavelet-HHH_gldm_DependenceNonUniformity,0.5954054907455782,550
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.4967597260453046,468
wavelet-HHH_gldm_DependenceVariance,0.40541612194155924,349
wavelet-HHH_gldm_GrayLevelNonUniformity,0.031642982226482826,2
wavelet-HHH_gldm_GrayLevelVariance,0.45831195727045115,431
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.4245400791255849,377
wavelet-HHH_gldm_LargeDependenceEmphasis,0.2737091304800693,179
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.2840876371419509,197
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.570107270093995,533
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.42454007912558483,376
wavelet-HHH_gldm_SmallDependenceEmphasis,0.39828429580707136,338
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.43681086234100064,399
