filter,feature_class,Feature_name,mae.y,rank
lbp-2D,glszm,lbp-2D_glszm_SmallAreaEmphasis,0,1
lbp-2D,glszm,lbp-2D_glszm_SmallAreaHighGrayLevelEmphasis,0,1
lbp-2D,glszm,lbp-2D_glszm_SmallAreaLowGrayLevelEmphasis,0,1
lbp-2D,glszm,lbp-2D_glszm_ZoneEntropy,NA,NA
lbp-2D,glszm,lbp-2D_glszm_ZonePercentage,0,1
lbp-2D,glszm,lbp-2D_glszm_ZoneVariance,NA,NA
lbp-2D,ngtdm,lbp-2D_ngtdm_Busyness,NA,NA
lbp-2D,ngtdm,lbp-2D_ngtdm_Coarseness,NA,NA
lbp-2D,ngtdm,lbp-2D_ngtdm_Complexity,NA,NA
lbp-2D,ngtdm,lbp-2D_ngtdm_Contrast,NA,NA
lbp-2D,ngtdm,lbp-2D_ngtdm_Strength,NA,NA
original,firstorder,original_firstorder_10Percentile,0.7843228657019407,660
original,firstorder,original_firstorder_90Percentile,0.1189662085770497,22
original,firstorder,original_firstorder_Energy,0.14945042086967125,44
original,firstorder,original_firstorder_Entropy,0.3376664680957582,342
original,firstorder,original_firstorder_InterquartileRange,0.26367250622751787,197
original,firstorder,original_firstorder_Kurtosis,0.1371605658136267,28
original,firstorder,original_firstorder_Maximum,0.2581704235241989,187
original,firstorder,original_firstorder_Mean,0.27185811058047465,213
original,firstorder,original_firstorder_MeanAbsoluteDeviation,0.30717289769769923,278
original,firstorder,original_firstorder_Median,0.2491668920762758,166
original,firstorder,original_firstorder_Minimum,1.4447076694502041,752
original,firstorder,original_firstorder_Range,0.4030822062791188,434
original,firstorder,original_firstorder_RobustMeanAbsoluteDeviation,0.26695924094627466,205
original,firstorder,original_firstorder_RootMeanSquared,0.24546885739058152,155
original,firstorder,original_firstorder_Skewness,0.22737451376184356,114
original,firstorder,original_firstorder_TotalEnergy,0.14945042086967125,44
original,firstorder,original_firstorder_Uniformity,0.2592949338481795,189
original,firstorder,original_firstorder_Variance,0.37675380737116543,397
original,glcm,original_glcm_Autocorrelation,0.7102633545519594,643
original,glcm,original_glcm_ClusterProminence,0.2786564601432305,230
original,glcm,original_glcm_ClusterShade,0.37912900419480433,400
original,glcm,original_glcm_ClusterTendency,0.22513085205007427,108
original,glcm,original_glcm_Contrast,0.9721707403126012,704
original,glcm,original_glcm_Correlation,0.26312522179204695,196
original,glcm,original_glcm_DifferenceAverage,0.9275801166260924,696
original,glcm,original_glcm_DifferenceEntropy,0.5589112233635899,574
original,glcm,original_glcm_DifferenceVariance,0.5173646426954085,553
original,glcm,original_glcm_Id,0.5821398921449638,585
original,glcm,original_glcm_Idm,0.5020082872878656,535
original,glcm,original_glcm_Idmn,0.836511861385719,675
original,glcm,original_glcm_Idn,0.692493748939697,636
original,glcm,original_glcm_Imc1,0.2870833695592338,241
original,glcm,original_glcm_Imc2,0.18485560877190135,66
original,glcm,original_glcm_InverseVariance,0.5020936541895011,536
original,glcm,original_glcm_JointAverage,0.6198628327111663,603
original,glcm,original_glcm_JointEnergy,0.24547322370034297,156
original,glcm,original_glcm_JointEntropy,0.3373865640781879,341
original,glcm,original_glcm_MaximumProbability,0.35442161914537085,366
original,glcm,original_glcm_SumEntropy,0.2585008983724572,188
original,glcm,original_glcm_SumSquares,0.3908265984690384,420
original,gldm,original_gldm_DependenceEntropy,0.2543248577246484,178
original,gldm,original_gldm_DependenceNonUniformity,1.138950211266732,722
original,gldm,original_gldm_DependenceNonUniformityNormalized,0.7056200683580117,641
original,gldm,original_gldm_DependenceVariance,0.2826925992570438,236
original,gldm,original_gldm_GrayLevelNonUniformity,0.19639421551155348,77
original,gldm,original_gldm_GrayLevelVariance,0.376629722184331,396
original,gldm,original_gldm_HighGrayLevelEmphasis,0.7467476702551569,653
original,gldm,original_gldm_LargeDependenceEmphasis,0.25790607325240544,184
original,gldm,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.4023446598623127,432
original,gldm,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.23581489048255727,136
original,gldm,original_gldm_LowGrayLevelEmphasis,0.4611594434767554,502
original,gldm,original_gldm_SmallDependenceEmphasis,0.4449072511845667,486
original,gldm,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.9619755652566598,701
original,gldm,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.5297137791569196,559
original,glrlm,original_glrlm_GrayLevelNonUniformity,0.20858266214214374,85
original,glrlm,original_glrlm_GrayLevelNonUniformityNormalized,0.26106445966277286,193
original,glrlm,original_glrlm_GrayLevelVariance,0.37830375031426927,399
original,glrlm,original_glrlm_HighGrayLevelRunEmphasis,0.7422131330430538,650
original,glrlm,original_glrlm_LongRunEmphasis,0.2480832459414366,163
original,glrlm,original_glrlm_LongRunHighGrayLevelEmphasis,0.648312165563866,616
original,glrlm,original_glrlm_LongRunLowGrayLevelEmphasis,0.39143771061118904,421
original,glrlm,original_glrlm_LowGrayLevelRunEmphasis,0.4525688412882216,497
original,glrlm,original_glrlm_RunEntropy,0.3142036607803109,293
original,glrlm,original_glrlm_RunLengthNonUniformity,0.2253138261887665,109
original,glrlm,original_glrlm_RunLengthNonUniformityNormalized,0.3715212979054893,386
original,glrlm,original_glrlm_RunPercentage,0.31691380030469923,298
original,glrlm,original_glrlm_RunVariance,0.2098902644768152,89
original,glrlm,original_glrlm_ShortRunEmphasis,0.3361589380203849,337
original,glrlm,original_glrlm_ShortRunHighGrayLevelEmphasis,0.7688614087782817,656
original,glrlm,original_glrlm_ShortRunLowGrayLevelEmphasis,0.4647697262445109,505
original,glszm,original_glszm_GrayLevelNonUniformity,0.25476257537557245,180
original,glszm,original_glszm_GrayLevelNonUniformityNormalized,0.26946180775452877,209
original,glszm,original_glszm_GrayLevelVariance,0.3871679060179174,413
original,glszm,original_glszm_HighGrayLevelZoneEmphasis,0.7332134170606318,647
original,glszm,original_glszm_LargeAreaEmphasis,0.14681075114545974,37
original,glszm,original_glszm_LargeAreaHighGrayLevelEmphasis,0.41135967023347647,445
original,glszm,original_glszm_LargeAreaLowGrayLevelEmphasis,0.1822482838548754,64
original,glszm,original_glszm_LowGrayLevelZoneEmphasis,0.41897895862333834,457
original,glszm,original_glszm_SizeZoneNonUniformity,0.8919930577733408,689
original,glszm,original_glszm_SizeZoneNonUniformityNormalized,0.542985426399433,566
original,glszm,original_glszm_SmallAreaEmphasis,0.43639091930604257,474
original,glszm,original_glszm_SmallAreaHighGrayLevelEmphasis,0.834673607107946,672
original,glszm,original_glszm_SmallAreaLowGrayLevelEmphasis,0.4499206678018095,495
original,glszm,original_glszm_ZoneEntropy,0.2926034786431701,249
original,glszm,original_glszm_ZonePercentage,0.36238220135010485,374
original,glszm,original_glszm_ZoneVariance,0.10916298681126335,17
original,ngtdm,original_ngtdm_Busyness,0.2487941382490011,164
original,ngtdm,original_ngtdm_Coarseness,0.4001098280041988,431
original,ngtdm,original_ngtdm_Complexity,1.0267185757540085,709
original,ngtdm,original_ngtdm_Contrast,0.5513886093499784,571
original,ngtdm,original_ngtdm_Strength,0.2145245118901941,94
wavelet-HHH,firstorder,wavelet-HHH_firstorder_10Percentile,1.2478171643093277,738
wavelet-HHH,firstorder,wavelet-HHH_firstorder_90Percentile,2.0366389868018904,770
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Energy,0,1
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Entropy,0.2756895040503042,222
wavelet-HHH,firstorder,wavelet-HHH_firstorder_InterquartileRange,1.7342944570167849,760
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Kurtosis,0.23812856473250446,141
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Maximum,0.8638908592662558,683
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Mean,0.6627576197658944,622
wavelet-HHH,firstorder,wavelet-HHH_firstorder_MeanAbsoluteDeviation,1.6851382849812473,759
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Median,0.7373130182912604,648
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Minimum,1.2082441387951341,732
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Range,1.1988542369753594,729
wavelet-HHH,firstorder,wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,1.6704156304003175,758
wavelet-HHH,firstorder,wavelet-HHH_firstorder_RootMeanSquared,NA,NA
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Skewness,0.28801339999898085,243
wavelet-HHH,firstorder,wavelet-HHH_firstorder_TotalEnergy,0,1
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Uniformity,0.27623701376830684,224
wavelet-HHH,firstorder,wavelet-HHH_firstorder_Variance,3.106137124412325,783
wavelet-HHH,glcm,wavelet-HHH_glcm_Autocorrelation,0.36964853196703734,382
wavelet-HHH,glcm,wavelet-HHH_glcm_ClusterProminence,0.5011645698284984,532
wavelet-HHH,glcm,wavelet-HHH_glcm_ClusterShade,0.34040619805131483,346
wavelet-HHH,glcm,wavelet-HHH_glcm_ClusterTendency,0.5296117065528059,558
wavelet-HHH,glcm,wavelet-HHH_glcm_Contrast,0.4462442208619651,488
wavelet-HHH,glcm,wavelet-HHH_glcm_Correlation,0.49893212059864694,530
wavelet-HHH,glcm,wavelet-HHH_glcm_DifferenceAverage,0.4462442208619651,488
wavelet-HHH,glcm,wavelet-HHH_glcm_DifferenceEntropy,1.4000839437732766,750
wavelet-HHH,glcm,wavelet-HHH_glcm_DifferenceVariance,1.369849513700379,746
wavelet-HHH,glcm,wavelet-HHH_glcm_Id,0.44624422086196514,489
wavelet-HHH,glcm,wavelet-HHH_glcm_Idm,0.44624422086196514,489
wavelet-HHH,glcm,wavelet-HHH_glcm_Idmn,0.446244220861965,487
wavelet-HHH,glcm,wavelet-HHH_glcm_Idn,0.44624422086196563,490
wavelet-HHH,glcm,wavelet-HHH_glcm_Imc1,1.3750167331778425,747
wavelet-HHH,glcm,wavelet-HHH_glcm_Imc2,0.8459958068678523,677
wavelet-HHH,glcm,wavelet-HHH_glcm_InverseVariance,0.4462442208619651,488
wavelet-HHH,glcm,wavelet-HHH_glcm_JointAverage,0.36484148625750373,377
wavelet-HHH,glcm,wavelet-HHH_glcm_JointEnergy,0.7394915278177386,649
wavelet-HHH,glcm,wavelet-HHH_glcm_JointEntropy,0.7509575812480523,654
wavelet-HHH,glcm,wavelet-HHH_glcm_MaximumProbability,0.4565487788398976,500
wavelet-HHH,glcm,wavelet-HHH_glcm_SumEntropy,0.8348341260825662,674
wavelet-HHH,glcm,wavelet-HHH_glcm_SumSquares,0.24276059609250644,151
wavelet-HHH,gldm,wavelet-HHH_gldm_DependenceEntropy,0.565041272243952,577
wavelet-HHH,gldm,wavelet-HHH_gldm_DependenceNonUniformity,0.3888310457333211,416
wavelet-HHH,gldm,wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.8004086371226865,664
wavelet-HHH,gldm,wavelet-HHH_gldm_DependenceVariance,0.49008074585710965,524
wavelet-HHH,gldm,wavelet-HHH_gldm_GrayLevelNonUniformity,0.017903124339306225,5
wavelet-HHH,gldm,wavelet-HHH_gldm_GrayLevelVariance,0.27623701376830767,225
wavelet-HHH,gldm,wavelet-HHH_gldm_HighGrayLevelEmphasis,0.410441101535001,442
wavelet-HHH,gldm,wavelet-HHH_gldm_LargeDependenceEmphasis,0.27442352102893014,219
wavelet-HHH,gldm,wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.205882288215281,83
wavelet-HHH,gldm,wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5735841330163652,581
wavelet-HHH,gldm,wavelet-HHH_gldm_LowGrayLevelEmphasis,0.410441101535001,442
wavelet-HHH,gldm,wavelet-HHH_gldm_SmallDependenceEmphasis,0.255202653134508,182
wavelet-HHH,gldm,wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.24801461373462075,162
wavelet-HHH,gldm,wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.3837706278006214,409
wavelet-HHH,glrlm,wavelet-HHH_glrlm_GrayLevelNonUniformity,0.07065109609541657,8
wavelet-HHH,glrlm,wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.2783169583487518,228
wavelet-HHH,glrlm,wavelet-HHH_glrlm_GrayLevelVariance,0.2783169583487527,229
wavelet-HHH,glrlm,wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.5161998100471789,551
wavelet-HHH,glrlm,wavelet-HHH_glrlm_LongRunEmphasis,0.3228011679434219,313
wavelet-HHH,glrlm,wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.21936226843143553,102
wavelet-HHH,glrlm,wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.6278849678023005,606
wavelet-HHH,glrlm,wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.5161998100471787,550
wavelet-HHH,glrlm,wavelet-HHH_glrlm_RunEntropy,0.2402185408562822,145
wavelet-HHH,glrlm,wavelet-HHH_glrlm_RunLengthNonUniformity,0.3296797903202047,324
wavelet-HHH,glrlm,wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.2736509463969452,218
wavelet-HHH,glrlm,wavelet-HHH_glrlm_RunPercentage,0.2551568566909284,181
wavelet-HHH,glrlm,wavelet-HHH_glrlm_RunVariance,0.49937583192296725,531
wavelet-HHH,glrlm,wavelet-HHH_glrlm_ShortRunEmphasis,0.2612941768047039,194
wavelet-HHH,glrlm,wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.2656564462088556,202
wavelet-HHH,glrlm,wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.40325909938322196,435
wavelet-HHH,glszm,wavelet-HHH_glszm_GrayLevelNonUniformity,0.32017079706258517,306
wavelet-HHH,glszm,wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.4168091124370379,454
wavelet-HHH,glszm,wavelet-HHH_glszm_GrayLevelVariance,0.41680911243703783,453
wavelet-HHH,glszm,wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.5039900418407925,537
wavelet-HHH,glszm,wavelet-HHH_glszm_LargeAreaEmphasis,0.4270723871807423,464
wavelet-HHH,glszm,wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.4155781053377115,450
wavelet-HHH,glszm,wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.43453451768501483,472
wavelet-HHH,glszm,wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.5039900418407925,537
wavelet-HHH,glszm,wavelet-HHH_glszm_SizeZoneNonUniformity,0.34101942666782853,347
wavelet-HHH,glszm,wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.6157035817417609,599
wavelet-HHH,glszm,wavelet-HHH_glszm_SmallAreaEmphasis,0.48075826642184094,518
wavelet-HHH,glszm,wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.4761124180992436,513
wavelet-HHH,glszm,wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.4478810489739464,492
wavelet-HHH,glszm,wavelet-HHH_glszm_ZoneEntropy,0.543888043258862,567
wavelet-HHH,glszm,wavelet-HHH_glszm_ZonePercentage,0.24920682882836007,167
wavelet-HHH,glszm,wavelet-HHH_glszm_ZoneVariance,0.39740727961764627,427
wavelet-HHH,ngtdm,wavelet-HHH_ngtdm_Busyness,0.4686187847927495,508
wavelet-HHH,ngtdm,wavelet-HHH_ngtdm_Coarseness,0.10328306102536383,13
wavelet-HHH,ngtdm,wavelet-HHH_ngtdm_Complexity,0.47574698950794525,512
wavelet-HHH,ngtdm,wavelet-HHH_ngtdm_Contrast,0.443300070266317,484
wavelet-HHH,ngtdm,wavelet-HHH_ngtdm_Strength,0.10344711413585642,14
wavelet-HHL,firstorder,wavelet-HHL_firstorder_10Percentile,1.237896750100632,736
wavelet-HHL,firstorder,wavelet-HHL_firstorder_90Percentile,2.2507546622234895,777
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Energy,0.10488382313239271,16
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Entropy,0.9213093765003916,694
wavelet-HHL,firstorder,wavelet-HHL_firstorder_InterquartileRange,1.9142661788972841,766
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Kurtosis,0.23546686846377002,134
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Maximum,1.1057494762122382,715
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Mean,0.4239811632008797,460
wavelet-HHL,firstorder,wavelet-HHL_firstorder_MeanAbsoluteDeviation,1.7920233668748484,763
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Median,0.7919938411702684,661
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Minimum,1.1995639269624492,730
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Range,1.4620571060221412,754
wavelet-HHL,firstorder,wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,1.7625215090071735,761
wavelet-HHL,firstorder,wavelet-HHL_firstorder_RootMeanSquared,1.2208514750245374,733
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Skewness,0.23281833243623826,128
wavelet-HHL,firstorder,wavelet-HHL_firstorder_TotalEnergy,0.10488382313239271,16
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Uniformity,0.4822509699847009,519
wavelet-HHL,firstorder,wavelet-HHL_firstorder_Variance,3.4837673582625426,786
wavelet-HHL,glcm,wavelet-HHL_glcm_Autocorrelation,1.9225666714437286,768
wavelet-HHL,glcm,wavelet-HHL_glcm_ClusterProminence,10.607252984828904,792
wavelet-HHL,glcm,wavelet-HHL_glcm_ClusterShade,1.8361978301116622,764
wavelet-HHL,glcm,wavelet-HHL_glcm_ClusterTendency,3.0220623219791936,782
wavelet-HHL,glcm,wavelet-HHL_glcm_Contrast,3.8091356134361614,790
wavelet-HHL,glcm,wavelet-HHL_glcm_Correlation,0.5128795110992693,549
wavelet-HHL,glcm,wavelet-HHL_glcm_DifferenceAverage,1.9006730813667079,765
wavelet-HHL,glcm,wavelet-HHL_glcm_DifferenceEntropy,0.9714718021325365,703
