filter,feature_class,feature,Feature_name,mae,rank
lbp-2D,glrlm,LongRunEmphasis,lbp-2D_glrlm_LongRunEmphasis,0,1
lbp-2D,glrlm,LongRunHighGrayLevelEmphasis,lbp-2D_glrlm_LongRunHighGrayLevelEmphasis,0,1
lbp-2D,glrlm,LongRunLowGrayLevelEmphasis,lbp-2D_glrlm_LongRunLowGrayLevelEmphasis,0,1
lbp-2D,glrlm,LowGrayLevelRunEmphasis,lbp-2D_glrlm_LowGrayLevelRunEmphasis,NA,NA
lbp-2D,glrlm,RunEntropy,lbp-2D_glrlm_RunEntropy,0,1
lbp-2D,glrlm,RunLengthNonUniformity,lbp-2D_glrlm_RunLengthNonUniformity,0,1
lbp-2D,glrlm,RunLengthNonUniformityNormalized,lbp-2D_glrlm_RunLengthNonUniformityNormalized,0,1
lbp-2D,glrlm,RunPercentage,lbp-2D_glrlm_RunPercentage,0,1
lbp-2D,glrlm,RunVariance,lbp-2D_glrlm_RunVariance,0,1
lbp-2D,glrlm,ShortRunEmphasis,lbp-2D_glrlm_ShortRunEmphasis,0,1
lbp-2D,glrlm,ShortRunHighGrayLevelEmphasis,lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis,0,1
lbp-2D,glrlm,ShortRunLowGrayLevelEmphasis,lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis,0,1
lbp-2D,glszm,GrayLevelNonUniformity,lbp-2D_glszm_GrayLevelNonUniformity,NA,NA
lbp-2D,glszm,GrayLevelNonUniformityNormalized,lbp-2D_glszm_GrayLevelNonUniformityNormalized,NA,NA
lbp-2D,glszm,GrayLevelVariance,lbp-2D_glszm_GrayLevelVariance,NA,NA
lbp-2D,glszm,HighGrayLevelZoneEmphasis,lbp-2D_glszm_HighGrayLevelZoneEmphasis,NA,NA
lbp-2D,glszm,LargeAreaEmphasis,lbp-2D_glszm_LargeAreaEmphasis,0,1
lbp-2D,glszm,LargeAreaHighGrayLevelEmphasis,lbp-2D_glszm_LargeAreaHighGrayLevelEmphasis,0,1
lbp-2D,glszm,LargeAreaLowGrayLevelEmphasis,lbp-2D_glszm_LargeAreaLowGrayLevelEmphasis,0,1
lbp-2D,glszm,LowGrayLevelZoneEmphasis,lbp-2D_glszm_LowGrayLevelZoneEmphasis,NA,NA
lbp-2D,glszm,SizeZoneNonUniformity,lbp-2D_glszm_SizeZoneNonUniformity,NA,NA
lbp-2D,glszm,SizeZoneNonUniformityNormalized,lbp-2D_glszm_SizeZoneNonUniformityNormalized,NA,NA
lbp-2D,glszm,SmallAreaEmphasis,lbp-2D_glszm_SmallAreaEmphasis,0,1
lbp-2D,glszm,SmallAreaHighGrayLevelEmphasis,lbp-2D_glszm_SmallAreaHighGrayLevelEmphasis,0,1
lbp-2D,glszm,SmallAreaLowGrayLevelEmphasis,lbp-2D_glszm_SmallAreaLowGrayLevelEmphasis,0,1
lbp-2D,glszm,ZoneEntropy,lbp-2D_glszm_ZoneEntropy,NA,NA
lbp-2D,glszm,ZonePercentage,lbp-2D_glszm_ZonePercentage,0,1
lbp-2D,glszm,ZoneVariance,lbp-2D_glszm_ZoneVariance,NA,NA
lbp-2D,ngtdm,Busyness,lbp-2D_ngtdm_Busyness,NA,NA
lbp-2D,ngtdm,Coarseness,lbp-2D_ngtdm_Coarseness,NA,NA
lbp-2D,ngtdm,Complexity,lbp-2D_ngtdm_Complexity,NA,NA
lbp-2D,ngtdm,Contrast,lbp-2D_ngtdm_Contrast,NA,NA
lbp-2D,ngtdm,Strength,lbp-2D_ngtdm_Strength,NA,NA
original,firstorder,10Percentile,original_firstorder_10Percentile,0.179930788761516,103
original,firstorder,90Percentile,original_firstorder_90Percentile,0.09483317227717822,25
original,firstorder,Energy,original_firstorder_Energy,0.03568454591377377,6
original,firstorder,Entropy,original_firstorder_Entropy,0.6532571773785444,739
original,firstorder,InterquartileRange,original_firstorder_InterquartileRange,0.568223587756976,687
original,firstorder,Kurtosis,original_firstorder_Kurtosis,0.3210449972044584,315
original,firstorder,Maximum,original_firstorder_Maximum,0.3318430346221326,344
original,firstorder,Mean,original_firstorder_Mean,0.06712122575294839,14
original,firstorder,MeanAbsoluteDeviation,original_firstorder_MeanAbsoluteDeviation,0.42863526736491625,519
original,firstorder,Median,original_firstorder_Median,0.05526242105799836,10
original,firstorder,Minimum,original_firstorder_Minimum,0.3394705105005715,367
original,firstorder,Range,original_firstorder_Range,0.2573905982160748,200
original,firstorder,RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,0.6103185424233767,722
original,firstorder,RootMeanSquared,original_firstorder_RootMeanSquared,0.06607341489768222,13
original,firstorder,Skewness,original_firstorder_Skewness,0.29881190972589294,272
original,firstorder,TotalEnergy,original_firstorder_TotalEnergy,0.03568454591377377,6
original,firstorder,Uniformity,original_firstorder_Uniformity,0.5012427890276528,621
original,firstorder,Variance,original_firstorder_Variance,0.14565116842954046,72
original,glcm,Autocorrelation,original_glcm_Autocorrelation,0.5108074501493645,635
original,glcm,ClusterProminence,original_glcm_ClusterProminence,0.1321484272669036,58
original,glcm,ClusterShade,original_glcm_ClusterShade,0.14348001455043716,71
original,glcm,ClusterTendency,original_glcm_ClusterTendency,0.136466897725888,63
original,glcm,Contrast,original_glcm_Contrast,0.22772594471417207,147
original,glcm,Correlation,original_glcm_Correlation,0.34192667091150947,375
original,glcm,DifferenceAverage,original_glcm_DifferenceAverage,0.5863781047498512,703
original,glcm,DifferenceEntropy,original_glcm_DifferenceEntropy,0.7522337787332815,764
original,glcm,DifferenceVariance,original_glcm_DifferenceVariance,0.12775045696108556,53
original,glcm,Id,original_glcm_Id,0.9227033204466142,786
original,glcm,Idm,original_glcm_Idm,0.864956622272318,782
original,glcm,Idmn,original_glcm_Idmn,0.6930121803961837,752
original,glcm,Idn,original_glcm_Idn,1.1918721479441647,794
original,glcm,Imc1,original_glcm_Imc1,0.47313201318799053,589
original,glcm,Imc2,original_glcm_Imc2,0.32881164735636415,333
original,glcm,InverseVariance,original_glcm_InverseVariance,0.8455218305074048,781
original,glcm,JointAverage,original_glcm_JointAverage,0.47928285694510275,599
original,glcm,JointEnergy,original_glcm_JointEnergy,0.40387243968422326,486
original,glcm,JointEntropy,original_glcm_JointEntropy,0.43359651726134485,527
original,glcm,MaximumProbability,original_glcm_MaximumProbability,0.3993291229667693,475
original,glcm,SumEntropy,original_glcm_SumEntropy,0.44951116750940134,555
original,glcm,SumSquares,original_glcm_SumSquares,0.16243675465288973,82
original,gldm,DependenceEntropy,original_gldm_DependenceEntropy,0.3625993950138744,408
original,gldm,DependenceNonUniformity,original_gldm_DependenceNonUniformity,0.7359084005051706,762
original,gldm,DependenceNonUniformityNormalized,original_gldm_DependenceNonUniformityNormalized,0.798548229233875,776
original,gldm,DependenceVariance,original_gldm_DependenceVariance,0.4693323365242881,586
original,gldm,GrayLevelNonUniformity,original_gldm_GrayLevelNonUniformity,0.4310185212837883,522
original,gldm,GrayLevelVariance,original_gldm_GrayLevelVariance,0.145943003749046,73
original,gldm,HighGrayLevelEmphasis,original_gldm_HighGrayLevelEmphasis,0.5595858974375273,679
