filter,feature_class,feature,Feature_name,mae,rank
original,firstorder,10Percentile,original_firstorder_10Percentile,0.6198690698196084,583
original,firstorder,90Percentile,original_firstorder_90Percentile,0.1344885534540299,19
original,firstorder,Energy,original_firstorder_Energy,0.17880352532732047,34
original,firstorder,Entropy,original_firstorder_Entropy,0.6252365907361226,591
original,firstorder,InterquartileRange,original_firstorder_InterquartileRange,0.4942920797443668,480
original,firstorder,Kurtosis,original_firstorder_Kurtosis,0.22285177758067312,73
original,firstorder,Maximum,original_firstorder_Maximum,0.45753823234138696,445
original,firstorder,Mean,original_firstorder_Mean,0.275032762072826,144
original,firstorder,MeanAbsoluteDeviation,original_firstorder_MeanAbsoluteDeviation,0.788052872058432,657
original,firstorder,Median,original_firstorder_Median,0.22863321142082277,77
original,firstorder,Minimum,original_firstorder_Minimum,1.1371065074811102,727
original,firstorder,Range,original_firstorder_Range,0.39902758246000253,351
original,firstorder,RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,0.5446559715848663,526
original,firstorder,RootMeanSquared,original_firstorder_RootMeanSquared,0.25728446678463046,107
original,firstorder,Skewness,original_firstorder_Skewness,0.3425297546353204,258
original,firstorder,TotalEnergy,original_firstorder_TotalEnergy,0.17880352532732047,34
original,firstorder,Uniformity,original_firstorder_Uniformity,0.41923758824764035,387
original,firstorder,Variance,original_firstorder_Variance,0.9061910675286948,696
original,glcm,Autocorrelation,original_glcm_Autocorrelation,1.1396454261917859,728
original,glcm,ClusterProminence,original_glcm_ClusterProminence,0.30158501278348304,189
original,glcm,ClusterShade,original_glcm_ClusterShade,0.33274926790872006,242
original,glcm,ClusterTendency,original_glcm_ClusterTendency,0.5786398862460101,557
original,glcm,Contrast,original_glcm_Contrast,0.8760358028587188,685
original,glcm,Correlation,original_glcm_Correlation,0.26107928246145395,114
original,glcm,DifferenceAverage,original_glcm_DifferenceAverage,1.1109809501658892,722
original,glcm,DifferenceEntropy,original_glcm_DifferenceEntropy,0.7774220113830581,653
original,glcm,DifferenceVariance,original_glcm_DifferenceVariance,0.36980653954824405,316
original,glcm,Id,original_glcm_Id,0.7576959927445497,648
original,glcm,Idm,original_glcm_Idm,0.6489435335571185,603
original,glcm,Idmn,original_glcm_Idmn,0.8199675129118423,664
original,glcm,Idn,original_glcm_Idn,0.9265258146028131,700
original,glcm,Imc1,original_glcm_Imc1,0.5747883842273016,552
original,glcm,Imc2,original_glcm_Imc2,0.3435886884230496,259
original,glcm,InverseVariance,original_glcm_InverseVariance,0.680931053215906,618
original,glcm,JointAverage,original_glcm_JointAverage,0.8846293628435075,689
original,glcm,JointEnergy,original_glcm_JointEnergy,0.4371702031721887,406
original,glcm,JointEntropy,original_glcm_JointEntropy,0.584222594432497,562
original,glcm,MaximumProbability,original_glcm_MaximumProbability,0.430935588248552,399
original,glcm,SumEntropy,original_glcm_SumEntropy,0.38267273948368397,332
original,glcm,SumSquares,original_glcm_SumSquares,1.0144955404132696,710
original,gldm,DependenceEntropy,original_gldm_DependenceEntropy,0.257539890060633,108
original,gldm,DependenceNonUniformity,original_gldm_DependenceNonUniformity,1.2743407975833259,741
original,gldm,DependenceNonUniformityNormalized,original_gldm_DependenceNonUniformityNormalized,0.8758893796631451,684
original,gldm,DependenceVariance,original_gldm_DependenceVariance,0.370844468359509,318
original,gldm,GrayLevelNonUniformity,original_gldm_GrayLevelNonUniformity,0.4633716295738254,454
original,gldm,GrayLevelVariance,original_gldm_GrayLevelVariance,0.9058327259190353,695
original,gldm,HighGrayLevelEmphasis,original_gldm_HighGrayLevelEmphasis,1.2201505927612801,734
original,gldm,LargeDependenceEmphasis,original_gldm_LargeDependenceEmphasis,0.3348441497889628,246
original,gldm,LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.5418214422085977,525
original,gldm,LargeDependenceLowGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.22382226495343688,74
original,gldm,LowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,0.3402877164303388,253
original,gldm,SmallDependenceEmphasis,original_gldm_SmallDependenceEmphasis,0.5556872743919647,537
original,gldm,SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,1.6094127879767937,761
original,gldm,SmallDependenceLowGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.3766620075018777,325
original,glrlm,GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformity,0.4646595598387318,456
original,glrlm,GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelNonUniformityNormalized,0.4220699198848732,389
original,glrlm,GrayLevelVariance,original_glrlm_GrayLevelVariance,0.8787728014127804,687
original,glrlm,HighGrayLevelRunEmphasis,original_glrlm_HighGrayLevelRunEmphasis,1.2142077234390893,733
original,glrlm,LongRunEmphasis,original_glrlm_LongRunEmphasis,0.339832422410255,251
original,glrlm,LongRunHighGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,1.0201510684992796,712
original,glrlm,LongRunLowGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,0.31350026986464297,208
