filter,feature_class,feature,Feature_name,mae,rank
lbp-2D,glrlm,RunPercentage,lbp-2D_glrlm_RunPercentage,0,1
lbp-2D,glrlm,RunVariance,lbp-2D_glrlm_RunVariance,0,1
lbp-2D,glrlm,ShortRunEmphasis,lbp-2D_glrlm_ShortRunEmphasis,0,1
lbp-2D,glrlm,ShortRunHighGrayLevelEmphasis,lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis,0,1
lbp-2D,glrlm,ShortRunLowGrayLevelEmphasis,lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis,0,1
lbp-2D,glszm,GrayLevelNonUniformity,lbp-2D_glszm_GrayLevelNonUniformity,0,1
lbp-2D,glszm,GrayLevelNonUniformityNormalized,lbp-2D_glszm_GrayLevelNonUniformityNormalized,NA,NA
lbp-2D,glszm,GrayLevelVariance,lbp-2D_glszm_GrayLevelVariance,NA,NA
lbp-2D,glszm,HighGrayLevelZoneEmphasis,lbp-2D_glszm_HighGrayLevelZoneEmphasis,NA,NA
lbp-2D,glszm,LargeAreaEmphasis,lbp-2D_glszm_LargeAreaEmphasis,0,1
lbp-2D,glszm,LargeAreaHighGrayLevelEmphasis,lbp-2D_glszm_LargeAreaHighGrayLevelEmphasis,0,1
lbp-2D,glszm,LargeAreaLowGrayLevelEmphasis,lbp-2D_glszm_LargeAreaLowGrayLevelEmphasis,0,1
lbp-2D,glszm,LowGrayLevelZoneEmphasis,lbp-2D_glszm_LowGrayLevelZoneEmphasis,NA,NA
lbp-2D,glszm,SizeZoneNonUniformity,lbp-2D_glszm_SizeZoneNonUniformity,NA,NA
lbp-2D,glszm,SizeZoneNonUniformityNormalized,lbp-2D_glszm_SizeZoneNonUniformityNormalized,0,1
lbp-2D,glszm,SmallAreaEmphasis,lbp-2D_glszm_SmallAreaEmphasis,0,1
lbp-2D,glszm,SmallAreaHighGrayLevelEmphasis,lbp-2D_glszm_SmallAreaHighGrayLevelEmphasis,0,1
lbp-2D,glszm,SmallAreaLowGrayLevelEmphasis,lbp-2D_glszm_SmallAreaLowGrayLevelEmphasis,0,1
lbp-2D,glszm,ZoneEntropy,lbp-2D_glszm_ZoneEntropy,0,1
lbp-2D,glszm,ZonePercentage,lbp-2D_glszm_ZonePercentage,0,1
lbp-2D,glszm,ZoneVariance,lbp-2D_glszm_ZoneVariance,0,1
lbp-2D,ngtdm,Busyness,lbp-2D_ngtdm_Busyness,NA,NA
lbp-2D,ngtdm,Coarseness,lbp-2D_ngtdm_Coarseness,NA,NA
lbp-2D,ngtdm,Complexity,lbp-2D_ngtdm_Complexity,NA,NA
lbp-2D,ngtdm,Contrast,lbp-2D_ngtdm_Contrast,NA,NA
lbp-2D,ngtdm,Strength,lbp-2D_ngtdm_Strength,NA,NA
original,firstorder,10Percentile,original_firstorder_10Percentile,0.4509755766292647,703
original,firstorder,90Percentile,original_firstorder_90Percentile,0.309369268110842,550
original,firstorder,Energy,original_firstorder_Energy,0.015358361915387905,8
original,firstorder,Entropy,original_firstorder_Entropy,0.41384227939864626,682
original,firstorder,InterquartileRange,original_firstorder_InterquartileRange,0.8113795147773069,782
original,firstorder,Kurtosis,original_firstorder_Kurtosis,0.17869550314244664,229
original,firstorder,Maximum,original_firstorder_Maximum,0.17916078118389073,234
original,firstorder,Mean,original_firstorder_Mean,0.152560255304993,156
original,firstorder,MeanAbsoluteDeviation,original_firstorder_MeanAbsoluteDeviation,0.548215884187626,737
original,firstorder,Median,original_firstorder_Median,0.2022306481665963,290
original,firstorder,Minimum,original_firstorder_Minimum,0.43650332346737697,696
original,firstorder,Range,original_firstorder_Range,0.2214937464040296,331
original,firstorder,RobustMeanAbsoluteDeviation,original_firstorder_RobustMeanAbsoluteDeviation,0.7939381836970034,780
original,firstorder,RootMeanSquared,original_firstorder_RootMeanSquared,0.14499219472266517,128
original,firstorder,Skewness,original_firstorder_Skewness,0.24590845249453538,394
original,firstorder,TotalEnergy,original_firstorder_TotalEnergy,0.015358361915387905,8
original,firstorder,Uniformity,original_firstorder_Uniformity,0.3252869424320523,577
original,firstorder,Variance,original_firstorder_Variance,0.4932245866322933,719
original,glcm,Autocorrelation,original_glcm_Autocorrelation,0.7247503777902258,778
original,glcm,ClusterProminence,original_glcm_ClusterProminence,0.3079474017726774,543
original,glcm,ClusterShade,original_glcm_ClusterShade,0.2184441932950711,324
original,glcm,ClusterTendency,original_glcm_ClusterTendency,0.4460580737845738,700
original,glcm,Contrast,original_glcm_Contrast,0.6893198641917511,771
original,glcm,Correlation,original_glcm_Correlation,0.2890694468601632,492
original,glcm,DifferenceAverage,original_glcm_DifferenceAverage,0.7371198045917373,779
original,glcm,DifferenceEntropy,original_glcm_DifferenceEntropy,0.3204931720241164,566
original,glcm,DifferenceVariance,original_glcm_DifferenceVariance,0.36564031143736747,636
original,glcm,Id,original_glcm_Id,0.5524092452529216,740
original,glcm,Idm,original_glcm_Idm,0.5109346872425513,726
original,glcm,Idmn,original_glcm_Idmn,0.3906829688608037,668
original,glcm,Idn,original_glcm_Idn,0.4051770800369472,677
original,glcm,Imc1,original_glcm_Imc1,0.2177669955957777,323
original,glcm,Imc2,original_glcm_Imc2,0.22706872271808012,347
original,glcm,InverseVariance,original_glcm_InverseVariance,0.5083373638261212,724
original,glcm,JointAverage,original_glcm_JointAverage,0.5188414103302378,732
original,glcm,JointEnergy,original_glcm_JointEnergy,0.08411237557108178,42
original,glcm,JointEntropy,original_glcm_JointEntropy,0.18863061702792297,253
original,glcm,MaximumProbability,original_glcm_MaximumProbability,0.1845948058569468,246
original,glcm,SumEntropy,original_glcm_SumEntropy,0.19471376704737903,271
original,glcm,SumSquares,original_glcm_SumSquares,0.5543295009496277,742
original,gldm,DependenceEntropy,original_gldm_DependenceEntropy,0.14997610668718572,150
original,gldm,DependenceNonUniformity,original_gldm_DependenceNonUniformity,0.37800066335065524,656
original,gldm,DependenceNonUniformityNormalized,original_gldm_DependenceNonUniformityNormalized,0.580000372176268,751
original,gldm,DependenceVariance,original_gldm_DependenceVariance,0.3019952438595938,531
original,gldm,GrayLevelNonUniformity,original_gldm_GrayLevelNonUniformity,0.20316428847163698,291
original,gldm,GrayLevelVariance,original_gldm_GrayLevelVariance,0.4959155833547015,720
original,gldm,HighGrayLevelEmphasis,original_gldm_HighGrayLevelEmphasis,0.7162871565647587,776
original,gldm,LargeDependenceEmphasis,original_gldm_LargeDependenceEmphasis,0.2755349336270384,464
original,gldm,LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.3861829431943674,665
original,gldm,LargeDependenceLowGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.10185102662364291,53
original,gldm,LowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,0.14035909954883607,116
original,gldm,SmallDependenceEmphasis,original_gldm_SmallDependenceEmphasis,0.4404409522448986,698
original,gldm,SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.8522904370554625,783
original,gldm,SmallDependenceLowGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.16964070420501876,198
original,glrlm,GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformity,0.1975909799248562,278
original,glrlm,GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelNonUniformityNormalized,0.3383503087510261,602
original,glrlm,GrayLevelVariance,original_glrlm_GrayLevelVariance,0.4638164251425952,710
original,glrlm,HighGrayLevelRunEmphasis,original_glrlm_HighGrayLevelRunEmphasis,0.6997378101683842,774
original,glrlm,LongRunEmphasis,original_glrlm_LongRunEmphasis,0.2782809541838529,472
original,glrlm,LongRunHighGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,0.6069532164544661,756
original,glrlm,LongRunLowGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,0.12326215862675796,88
original,glrlm,LowGrayLevelRunEmphasis,original_glrlm_LowGrayLevelRunEmphasis,0.14249796116408608,120
original,glrlm,RunEntropy,original_glrlm_RunEntropy,0.3088468847317654,547
original,glrlm,RunLengthNonUniformity,original_glrlm_RunLengthNonUniformity,0.11154694612093116,66
original,glrlm,RunLengthNonUniformityNormalized,original_glrlm_RunLengthNonUniformityNormalized,0.37132409148761214,645
original,glrlm,RunPercentage,original_glrlm_RunPercentage,0.33758722645576306,599
original,glrlm,RunVariance,original_glrlm_RunVariance,0.25280865723189466,416
original,glrlm,ShortRunEmphasis,original_glrlm_ShortRunEmphasis,0.3427044586069078,613
original,glrlm,ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,0.720563041334576,777
original,glrlm,ShortRunLowGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,0.14829786205611525,143
original,glszm,GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformity,0.18377557157017116,244
original,glszm,GrayLevelNonUniformityNormalized,original_glszm_GrayLevelNonUniformityNormalized,0.3166197029058154,560
original,glszm,GrayLevelVariance,original_glszm_GrayLevelVariance,0.38103217136852335,658
original,glszm,HighGrayLevelZoneEmphasis,original_glszm_HighGrayLevelZoneEmphasis,0.6459103262506304,768
original,glszm,LargeAreaEmphasis,original_glszm_LargeAreaEmphasis,0.15858230165270235,176
original,glszm,LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,0.3409939976096156,611
original,glszm,LargeAreaLowGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,0.08115775206815258,40
original,glszm,LowGrayLevelZoneEmphasis,original_glszm_LowGrayLevelZoneEmphasis,0.14659893531107693,136
original,glszm,SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformity,0.43131964504720516,692
original,glszm,SizeZoneNonUniformityNormalized,original_glszm_SizeZoneNonUniformityNormalized,0.48977220955204076,716
original,glszm,SmallAreaEmphasis,original_glszm_SmallAreaEmphasis,0.4222367131477873,687
original,glszm,SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,0.6969606979884765,773
original,glszm,SmallAreaLowGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,0.1671400126747125,195
original,glszm,ZoneEntropy,original_glszm_ZoneEntropy,0.16619230994659143,194
original,glszm,ZonePercentage,original_glszm_ZonePercentage,0.3729276309423128,646
original,glszm,ZoneVariance,original_glszm_ZoneVariance,0.1264090984908738,90
original,ngtdm,Busyness,original_ngtdm_Busyness,0.17360440312786968,208
original,ngtdm,Coarseness,original_ngtdm_Coarseness,0.09621818925028854,49
original,ngtdm,Complexity,original_ngtdm_Complexity,0.621341106844871,759
original,ngtdm,Contrast,original_ngtdm_Contrast,0.4051841937016345,678
original,ngtdm,Strength,original_ngtdm_Strength,0.2313595163199838,353
wavelet-HHH,firstorder,10Percentile,wavelet-HHH_firstorder_10Percentile,0.42068252453495353,685
wavelet-HHH,firstorder,90Percentile,wavelet-HHH_firstorder_90Percentile,0.6943294074916746,772
wavelet-HHH,firstorder,Energy,wavelet-HHH_firstorder_Energy,0,1
wavelet-HHH,firstorder,Entropy,wavelet-HHH_firstorder_Entropy,0.15316410096403396,159
wavelet-HHH,firstorder,InterquartileRange,wavelet-HHH_firstorder_InterquartileRange,0.5942243095242632,754
wavelet-HHH,firstorder,Kurtosis,wavelet-HHH_firstorder_Kurtosis,0.2173512721151668,322
wavelet-HHH,firstorder,Maximum,wavelet-HHH_firstorder_Maximum,0.42253840837964945,688
wavelet-HHH,firstorder,Mean,wavelet-HHH_firstorder_Mean,0.2497022997653479,405
wavelet-HHH,firstorder,MeanAbsoluteDeviation,wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.5110435750773504,727
wavelet-HHH,firstorder,Median,wavelet-HHH_firstorder_Median,0.2687255929878463,451
wavelet-HHH,firstorder,Minimum,wavelet-HHH_firstorder_Minimum,0.5984955224309519,755
wavelet-HHH,firstorder,Range,wavelet-HHH_firstorder_Range,0.46321387714609075,709
wavelet-HHH,firstorder,RobustMeanAbsoluteDeviation,wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.5502797739797202,738
wavelet-HHH,firstorder,RootMeanSquared,wavelet-HHH_firstorder_RootMeanSquared,NA,NA
wavelet-HHH,firstorder,Skewness,wavelet-HHH_firstorder_Skewness,0.32672056724575904,580
wavelet-HHH,firstorder,TotalEnergy,wavelet-HHH_firstorder_TotalEnergy,0,1
wavelet-HHH,firstorder,Uniformity,wavelet-HHH_firstorder_Uniformity,0.1536982175476967,162
wavelet-HHH,firstorder,Variance,wavelet-HHH_firstorder_Variance,0.5769753368163771,749
wavelet-HHH,glcm,Autocorrelation,wavelet-HHH_glcm_Autocorrelation,0.23242041911594802,357
wavelet-HHH,glcm,ClusterProminence,wavelet-HHH_glcm_ClusterProminence,0.16159836740093753,183
wavelet-HHH,glcm,ClusterShade,wavelet-HHH_glcm_ClusterShade,0.36903484027745354,640
wavelet-HHH,glcm,ClusterTendency,wavelet-HHH_glcm_ClusterTendency,0.18367590856632837,242
wavelet-HHH,glcm,Contrast,wavelet-HHH_glcm_Contrast,0.29459506846867467,511
wavelet-HHH,glcm,Correlation,wavelet-HHH_glcm_Correlation,0.4183261492877229,683
wavelet-HHH,glcm,DifferenceAverage,wavelet-HHH_glcm_DifferenceAverage,0.29459506846867467,511
wavelet-HHH,glcm,DifferenceEntropy,wavelet-HHH_glcm_DifferenceEntropy,0.2644418058821071,446
wavelet-HHH,glcm,DifferenceVariance,wavelet-HHH_glcm_DifferenceVariance,0.29967326681492396,522
wavelet-HHH,glcm,Id,wavelet-HHH_glcm_Id,0.29459506846867506,512
wavelet-HHH,glcm,Idm,wavelet-HHH_glcm_Idm,0.29459506846867506,512
wavelet-HHH,glcm,Idmn,wavelet-HHH_glcm_Idmn,0.29459506846867417,510
wavelet-HHH,glcm,Idn,wavelet-HHH_glcm_Idn,0.29459506846867467,511
wavelet-HHH,glcm,Imc1,wavelet-HHH_glcm_Imc1,0.5104343342763094,725
wavelet-HHH,glcm,Imc2,wavelet-HHH_glcm_Imc2,0.5221135560126018,733
wavelet-HHH,glcm,InverseVariance,wavelet-HHH_glcm_InverseVariance,0.29459506846867467,511
wavelet-HHH,glcm,JointAverage,wavelet-HHH_glcm_JointAverage,0.22374963167383694,339
wavelet-HHH,glcm,JointEnergy,wavelet-HHH_glcm_JointEnergy,0.11961383414329553,83
wavelet-HHH,glcm,JointEntropy,wavelet-HHH_glcm_JointEntropy,0.11847047026916246,81
wavelet-HHH,glcm,MaximumProbability,wavelet-HHH_glcm_MaximumProbability,0.17699410104552962,219
wavelet-HHH,glcm,SumEntropy,wavelet-HHH_glcm_SumEntropy,0.1499346221883938,149
wavelet-HHH,glcm,SumSquares,wavelet-HHH_glcm_SumSquares,0.09873983311240131,51
wavelet-HHH,gldm,DependenceEntropy,wavelet-HHH_gldm_DependenceEntropy,0.2948062235146794,513
wavelet-HHH,gldm,DependenceNonUniformity,wavelet-HHH_gldm_DependenceNonUniformity,0.14117000115013253,119
wavelet-HHH,gldm,DependenceNonUniformityNormalized,wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.4837960527053745,714
wavelet-HHH,gldm,DependenceVariance,wavelet-HHH_gldm_DependenceVariance,0.4869834033581389,715
wavelet-HHH,gldm,GrayLevelNonUniformity,wavelet-HHH_gldm_GrayLevelNonUniformity,0.01053474421305641,3
wavelet-HHH,gldm,GrayLevelVariance,wavelet-HHH_gldm_GrayLevelVariance,0.15369821754769683,163
wavelet-HHH,gldm,HighGrayLevelEmphasis,wavelet-HHH_gldm_HighGrayLevelEmphasis,0.26166312806363845,440
wavelet-HHH,gldm,LargeDependenceEmphasis,wavelet-HHH_gldm_LargeDependenceEmphasis,0.21210908316971258,310
wavelet-HHH,gldm,LargeDependenceHighGrayLevelEmphasis,wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.19101416385521347,260
wavelet-HHH,gldm,LargeDependenceLowGrayLevelEmphasis,wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5600566866185278,747
wavelet-HHH,gldm,LowGrayLevelEmphasis,wavelet-HHH_gldm_LowGrayLevelEmphasis,0.26166312806363845,440
